ID	FT:Consonance:Green	FT:Eliteness:Red	FT:Impact:Blue	FT:Positivity:Yellow	FT:Negativity:Orange	FT:Personalization:Maroon	FT:Proximity:Teal	FT:Superlativeness:Brown	FT:Timeliness:Gold	FT:Unexpectedness:Silver	NI:Consonance:Green	NI:Eliteness:Red	NI:Impact:Blue	NI:Positivity:Yellow	NI:Negativity:Orange	NI:Personalization:Maroon	NI:Proximity:Teal	NI:Superlativeness:Brown	NI:Timeliness:Gold	NI:Unexpectedness:Silver
1	90	90	90	30	30	90	90	90	90	90	30	0	0	90	0	90	90	0	0	0
2	90	90	90	30	30	30	90	90	90	0	0	30	0	0	0	0	0	0	90	0
3	0	90	90	30	30	30	90	90	90	0	0	0	0	0	0	90	0	0	90	0
4	90	90	90	30	30	90	90	90	90	0	0	30	0	0	0	0	90	0	0	0
5	90	90	90	30	30	90	90	90	90	90	0	0	0	0	0	90	0	0	0	0
6	30	90	90	30	30	30	90	90	90	0	0	0	0	0	0	90	0	0	0	0
7	30	90	90	30	30	90	90	90	90	90	0	90	0	0	0	0	0	0	90	0
8	30	90	90	30	30	30	90	90	90	0	0	90	0	0	0	0	90	0	0	0
9	90	90	0	30	30	30	90	90	90	90	0	90	0	0	0	0	0	0	0	0
10	90	90	90	90	0	90	90	90	90	90	0	90	0	90	0	0	0	0	0	0
11	0	90	90	30	30	90	90	90	90	90	0	30	0	0	90	0	0	0	0	0
12	90	30	0	30	30	90	90	90	90	0	0	30	0	0	0	90	0	0	0	0
13	90	90	90	0	90	90	90	90	90	0	0	0	90	0	90	90	0	0	0	0
14	90	90	90	90	0	90	90	90	90	0	0	30	90	0	90	0	0	0	90	0
15	0	90	90	90	0	90	90	90	90	0	0	0	0	90	0	90	0	0	0	0
16	90	90	90	0	90	90	90	90	90	30	0	30	90	0	90	0	0	90	0	0
17	0	90	90	90	0	90	90	90	90	0	90	30	90	0	90	0	30	90	0	0
18	0	90	90	90	0	30	90	90	90	0	0	0	90	90	0	0	0	90	0	0
19	90	90	90	30	30	30	90	90	90	0	0	30	0	90	0	90	0	0	0	0
20	90	90	90	30	30	30	90	90	90	0	0	30	0	90	0	0	0	0	0	0
21	90	90	90	0	90	90	90	90	90	90	0	30	0	0	0	0	30	0	90	0
22	90	90	90	0	90	90	90	90	90	0	0	30	0	0	90	90	0	0	90	0
23	90	90	90	30	30	30	90	90	90	0	0	30	90	0	90	0	0	0	90	0
24	0	90	90	30	30	30	90	90	90	0	0	30	0	90	0	90	0	0	0	0
25	0	90	90	90	0	30	90	90	90	0	90	30	0	0	0	90	0	0	90	0
26	90	90	90	30	30	30	90	90	90	0	0	90	0	0	90	0	90	0	90	0
27	30	90	90	0	90	30	90	90	90	0	0	0	0	0	90	30	0	0	0	0
28	90	90	90	30	30	90	90	90	90	0	0	30	0	0	90	0	0	0	90	0
29	30	90	90	90	0	90	90	90	90	30	0	90	0	90	0	0	0	0	0	0
30	0	90	0	30	30	30	90	90	90	0	0	90	0	90	0	0	0	0	0	0
31	90	90	90	30	30	30	90	90	90	0	0	30	0	0	90	0	0	90	0	0
32	30	90	90	30	30	30	90	90	90	90	0	0	90	0	90	0	30	90	0	0
33	90	90	0	30	30	30	90	90	90	0	0	30	90	0	90	0	90	30	90	0
34	0	90	90	30	30	90	90	90	90	0	0	0	0	0	0	90	0	0	0	0
35	0	90	0	30	30	90	90	90	90	0	0	90	0	90	0	90	0	0	0	0
36	90	90	0	0	90	90	90	90	90	0	0	30	90	0	90	0	0	0	90	0
37	90	90	90	30	30	30	90	90	90	0	0	30	90	90	0	0	0	0	0	0
38	30	90	90	90	0	30	90	0	90	0	0	30	90	30	30	90	0	0	90	0
39	0	90	90	0	90	30	90	90	90	0	0	0	90	0	90	0	90	90	0	0
40	0	90	90	30	30	30	90	90	90	0	0	0	0	90	0	90	0	0	0	0
41	90	90	90	0	90	90	90	90	90	0	0	30	0	0	0	0	30	0	90	0
42	90	90	90	30	30	30	90	90	90	90	0	0	90	0	90	90	0	0	0	0
43	0	90	90	0	90	30	90	90	90	90	0	30	90	0	90	0	0	90	0	0
44	0	90	90	30	30	90	90	90	90	0	90	30	90	0	90	0	90	0	0	0
45	90	90	90	30	30	90	90	90	90	0	0	30	0	0	0	90	0	0	0	0
46	90	90	90	0	90	90	90	90	90	90	0	30	90	0	90	0	0	0	0	0
47	90	90	90	30	30	30	90	90	90	0	90	30	90	0	90	0	90	0	90	0
48	30	90	90	0	90	90	90	90	90	90	0	90	0	0	0	0	90	0	0	0
49	0	90	90	0	90	30	90	90	90	90	0	0	0	0	90	90	0	90	0	0
50	90	90	90	0	90	30	90	90	90	0	0	30	90	0	90	0	30	0	90	0
51	90	90	90	30	30	90	90	90	90	0	0	0	90	0	90	90	0	0	0	0
52	90	90	90	0	90	90	90	90	90	90	0	0	0	0	90	0	0	0	90	90
53	90	90	90	30	30	90	90	90	90	0	0	90	0	90	0	90	0	90	0	0
54	0	90	90	30	30	90	90	90	90	0	0	0	0	0	0	90	0	0	0	0
55	90	90	90	30	30	90	90	90	90	0	0	0	0	90	0	90	0	0	0	0
56	0	90	90	90	0	90	90	90	90	0	0	0	90	0	90	0	30	90	0	0
57	90	90	90	30	30	30	90	90	90	0	0	0	90	0	90	90	0	0	0	0
58	90	90	90	30	30	30	90	90	90	90	0	0	90	0	90	0	30	0	0	0
59	0	90	90	30	30	30	90	0	0	0	0	30	90	30	30	0	90	90	0	0
60	90	30	90	30	30	90	90	30	90	90	0	0	90	0	90	90	0	0	0	0
