ID	FT:Consonance:Green	FT:Eliteness:Red	FT:Impact:Blue	FT:Positivity:Yellow	FT:Negativity:Orange	FT:Personalization:Maroon	FT:Proximity:Teal	FT:Superlativeness:Brown	FT:Timeliness:Gold	FT:Unexpectedness:Violet	NI:Consonance:Green	NI:Eliteness:Red	NI:Impact:Blue	NI:Positivity:Yellow	NI:Negativity:Orange	NI:Personalization:Maroon	NI:Proximity:Teal	NI:Superlativeness:Brown	NI:Timeliness:Gold	NI:Unexpectedness:Violet
1	100	100	100	50	50	100	100	100	100	100	50	0	0	100	0	100	100	0	0	0
2	100	100	100	50	50	50	100	100	100	0	0	50	0	0	0	0	0	0	100	0
3	0	100	100	50	50	50	100	100	100	0	0	0	0	0	0	100	0	0	100	0
4	100	100	100	50	50	100	100	100	100	0	0	50	0	0	0	0	100	0	0	0
5	100	100	100	50	50	100	100	100	100	100	0	0	0	0	0	100	0	0	0	0
6	50	100	100	50	50	50	100	100	100	0	0	0	0	0	0	100	0	0	0	0
7	50	100	100	50	50	0	100	100	100	100	0	100	0	0	0	0	0	0	100	0
8	50	100	100	50	50	50	100	100	100	0	0	100	0	0	0	0	100	0	0	0
9	100	100	0	50	50	50	100	100	100	100	0	100	0	0	0	0	0	0	0	0
10	100	100	100	100	0	0	100	100	100	100	0	100	0	100	0	0	0	0	0	0
11	0	100	100	50	50	100	100	100	100	100	0	50	0	0	100	0	0	0	0	0
12	100	50	0	50	50	100	100	100	100	0	0	50	0	0	0	100	0	0	0	0
13	100	100	100	0	100	0	100	100	100	0	0	0	100	0	100	0	0	0	0	0
14	100	100	100	100	0	0	100	100	100	0	0	50	100	0	100	0	0	0	100	0
15	0	100	100	100	0	100	100	100	100	0	0	0	0	100	0	100	0	0	0	0
16	100	100	100	0	100	100	100	100	100	50	0	50	100	0	100	0	0	100	0	0
17	0	100	100	100	0	100	100	100	100	0	100	50	100	0	100	0	50	100	0	0
18	0	100	100	100	0	50	100	100	100	0	0	0	100	100	0	0	0	100	0	0
19	100	100	100	50	50	50	100	100	100	0	0	50	0	100	0	100	0	0	0	0
20	100	100	100	50	50	50	100	100	100	0	0	50	0	100	0	0	0	0	0	0
21	100	100	100	0	100	100	100	100	100	100	0	50	0	0	0	0	50	0	100	0
22	100	100	100	0	100	0	100	100	100	0	0	50	0	0	100	100	0	0	100	0
23	100	100	100	50	50	50	100	100	100	0	0	50	100	0	100	0	0	0	100	0
24	0	100	100	50	50	50	100	100	100	0	0	50	0	100	0	100	0	0	0	0
25	0	100	100	100	0	50	100	100	100	0	100	50	0	0	0	100	0	0	100	0
26	100	100	100	50	50	50	100	100	100	0	0	100	0	0	100	0	100	0	100	0
27	50	100	100	0	100	50	100	100	100	0	0	0	0	0	100	50	0	0	0	0
28	100	100	100	50	50	0	100	100	100	0	0	50	0	0	100	0	0	0	100	0
29	50	100	100	100	0	0	100	100	100	50	0	100	0	100	0	0	0	0	0	0
30	0	100	0	50	50	50	100	100	100	0	0	100	0	100	0	0	0	0	0	0
31	100	100	100	50	50	50	100	100	100	0	0	50	0	0	100	0	0	100	0	0
32	50	100	100	50	50	50	100	100	100	100	0	0	100	0	100	0	50	100	0	0
33	100	100	0	50	50	50	100	100	100	0	0	50	100	0	100	0	100	50	100	0
34	0	100	100	50	50	100	100	100	100	0	0	0	0	0	0	100	0	0	0	0
35	0	100	0	50	50	100	100	100	100	0	0	100	0	100	0	100	0	0	0	0
36	100	100	0	0	100	0	100	100	100	0	0	50	100	0	100	0	0	0	100	0
37	100	100	100	50	50	50	100	100	100	0	0	50	100	100	0	0	0	0	0	0
38	50	100	100	100	0	50	100	0	100	0	0	50	100	50	50	0	0	0	100	0
39	0	100	100	0	100	50	100	100	100	0	0	0	100	0	100	0	100	100	0	0
40	0	100	100	50	50	50	100	100	100	0	0	0	0	100	0	100	0	0	0	0
41	100	100	100	0	100	100	100	100	100	0	0	50	0	0	0	0	50	0	100	0
42	100	100	100	50	50	50	100	100	100	100	0	0	100	0	100	100	0	0	0	0
43	0	100	100	0	100	50	100	100	100	100	0	50	100	0	100	0	0	100	0	0
44	0	100	100	50	50	100	100	100	100	0	100	50	100	0	100	0	100	0	0	0
45	100	100	100	50	50	100	100	100	100	0	0	50	0	0	0	100	0	0	0	0
46	100	100	100	0	100	100	100	100	100	100	0	50	100	0	100	0	0	0	0	0
47	100	100	100	50	50	50	100	100	100	0	100	50	100	0	100	0	100	0	100	0
48	50	100	100	0	100	100	100	100	100	100	0	100	0	0	0	0	100	0	0	0
49	0	100	100	0	100	50	100	100	100	100	0	0	0	0	100	100	0	100	0	0
50	100	100	100	0	100	50	100	100	100	0	0	50	100	0	100	0	50	0	100	0
51	100	100	100	50	50	100	100	100	100	0	0	0	50	0	100	0	0	0	0	0
52	100	100	100	0	100	100	100	100	100	100	0	0	0	0	100	0	0	0	100	100
53	100	100	100	50	50	100	100	100	100	0	0	100	0	100	0	100	0	100	0	0
54	0	100	100	50	50	100	100	100	100	0	0	0	0	0	0	100	0	0	0	0
55	100	100	100	50	50	100	100	100	100	0	0	0	0	100	0	100	0	0	0	0
56	0	100	100	100	0	100	100	100	100	0	0	0	100	0	100	0	50	100	0	0
57	100	100	100	50	50	50	100	100	100	0	0	0	100	0	100	0	0	0	0	0
58	100	100	100	50	50	50	100	100	100	100	0	0	100	0	100	0	50	0	0	0
59	0	100	100	50	50	50	100	0	0	0	0	50	100	50	50	0	100	100	0	0
60	100	50	100	50	50	100	100	50	100	100	0	0	100	0	100	100	0	0	0	0
